GEMEENTENAAM VESTIGING;ADRES PLAATS;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;TITELGEMEENTEN;ADRES-naam;ADRES;ADRES_STRAAT;ADRES-NR;ADRES_PC;ADRES PLAATS;DENOMINATIE
LELYSTAD;LELYSTAD;18GC00;SGM De Rietlanden;LELYSTAD;Scholengemeenschap De Rietlanden Ath Havo Mavo Vbo Lwoo;Grietenij 2202, 8233 BZ LELYSTAD;Grietenij;2202;8233 BZ;LELYSTAD;Algemeen bijzonder
LELYSTAD;LELYSTAD;25GV07;AOC Groenhorst;LELYSTAD;Agrarisch Opleidingen Centrum Groenhorst;Tjalk 25-58, 8232 MB LELYSTAD;Tjalk;25-58;8232 MB;LELYSTAD;Samenwerking PC, RK
LINGEWAARD;BEMMEL;17IM00;Over Betuwe College;LINGEWAARD;Over Betuwe College voor Ath Havo Mavo Vbo Lwoo;De Heister 1, 6681 CV BEMMEL;De Heister;1;6681 CV;BEMMEL;Rooms-Katholiek
LINGEWAARD;HUISSEN;17IM02;Over Betuwe College Huissen;LINGEWAARD;Over Betuwe College voor Ath Havo Mavo Vbo Lwoo;Julianastraat 17, 6851 KJ HUISSEN;Julianastraat;17;6851 KJ;HUISSEN;Rooms-Katholiek
LINGEWAARD;BEMMEL;17IM04;Over Betuwe College junior;LINGEWAARD;Over Betuwe College junior;Drieske 4, 6681 CX BEMMEL;Drieske;4;6681 CX;BEMMEL;Rooms-Katholiek
LOCHEM;LOCHEM;24TF00;Staring College;LOCHEM;Staring College Regionale Scholengemeenschap voor Ath Gymn Havo Vmbo;Zutphenseweg 108, 7241 SE LOCHEM;Zutphenseweg;108;7241 SE;LOCHEM;Openbaar
LOON OP ZAND;KAATSHEUVEL;16VK01;Van Haestrechtcollege;LOON OP ZAND;OMO Scholengr. De Langstraat Rk Sgm V Lyc Havo Mavo Vbo;Vossenbergselaan 8, 5171 CC KAATSHEUVEL;Vossenbergselaan;8;5171 CC;KAATSHEUVEL;Rooms-Katholiek
LOSSER;LOSSER;05AV03;Twents Carmel College;LOSSER;Twents Carmel College voor Gymnasium, Atheneum, Havo, Vmbo met Lwoo, Pro;Oranjestraat 2, 7581 EX LOSSER;Oranjestraat;2;7581 EX;LOSSER;Rooms-Katholiek
MAASSLUIS;MAASSLUIS;17WQ06;Lentiz locatie Revius;MAASSLUIS;Lentiz locatie Revius;Reviusplein 8, 3141 SV MAASSLUIS;Reviusplein;8;3141 SV;MAASSLUIS;Interconfessioneel
MAASSLUIS;MAASSLUIS;17WQ11;Lentiz VMBO Maassluis;MAASSLUIS;;Kastanjedal 2, 3142 AP MAASSLUIS;Kastanjedal;2;3142 AP;MAASSLUIS;Interconfessioneel
MEPPEL;MEPPEL;01NJ15;AOC Terra;MEPPEL;Agrarisch Opleidingscentrum Terra;Werkhorst 36, 7944 AV MEPPEL;Werkhorst;36;7944 AV;MEPPEL;Algemeen bijzonder
MEPPEL;MEPPEL;03XM00;Chr SGM Dingstede;MEPPEL;Christelijke Scholengemeenschap Dingstede voor Mavo Havo en Atheneum;Gerard Doustraat 13, 7944 HD MEPPEL;Gerard Doustraat;13;7944 HD;MEPPEL;Protestants-Christelijk
MEPPEL;MEPPEL;17VS04;Greijdanus College;MEPPEL;Prof dr S Greijdanus College voor Vwo Havo Mavo Vbo Lwoo;Schoolstraat 5, 7941 CA MEPPEL;Schoolstraat;5;7941 CA;MEPPEL;Gereformeerd
MEPPEL;MEPPEL;25CL00;RSG Stad en Esch;MEPPEL;Regionale Scholengemeenschap Stad en Esch voor Lyceum Havo Mavo Vbo Lwoo;Ezingerweg 52, 7943 AZ MEPPEL;Ezingerweg;52;7943 AZ;MEPPEL;Openbaar
MEPPEL;MEPPEL;25CL01;RSG Stad en Esch, Beroepencoll;MEPPEL;Regionale Scholengemeenschap Stad en Esch voor Lyceum Havo Mavo Vbo Lwoo;Ezingerweg 51, 7943 AZ MEPPEL;Ezingerweg;51;7943 AZ;MEPPEL;Openbaar
MIDDELBURG;MIDDELBURG;03JY01;Calvijn College;MIDDELBURG;Calvijn College voor Reformatorisch Atheneum Havo Mavo Vbo Lwoo;Kruitmolenlaan 60, 4337 KR MIDDELBURG;Kruitmolenlaan;60;4337 KR;MIDDELBURG;Reformatorisch
MIDDELBURG;MIDDELBURG;03XS00;Csw Van De Perre;MIDDELBURG;Christelijke Scholengemeenschap Walcheren voor Lyceum Havo Mavo Vbo Lwoo;Griffioenstraat 17, 4334 BK MIDDELBURG;Griffioenstraat;17;4334 BK;MIDDELBURG;Protestants-Christelijk
MIDDELBURG;MIDDELBURG;20CP04;Nehalennia SSG;MIDDELBURG;NEHALENNIA Stedelijke Scholengemeenschap voor LYC HAVO MAVO VBO LWOO;Breeweg 71-E, 4335 AP MIDDELBURG;Breeweg;71-E;4335 AP;MIDDELBURG;Openbaar
MIDDEN-DELFLAND;MAASLAND;14YD06;Lentiz;MIDDEN-DELFLAND;Lentiz locatie Maaslandcollege;Commandeurskade 22, 3155 AD MAASLAND;Commandeurskade;22;3155 AD;MAASLAND;Algemeen bijzonder
MILL EN SINT HUBERT;MILL;19RX02;Merletcollege;MILL EN SINT HUBERT;Merletcollege Lyc Havo Mavo Vbo Lwoo;Langenboomseweg 3, 5451 JH MILL;Langenboomseweg;3;5451 JH;MILL;Rooms-Katholiek
MOERDIJK;ZEVENBERGEN;30EU00;Markland College Zevenbergen;MOERDIJK;Markland College Zevenbergen;Gildelaan 82, 4761 BA ZEVENBERGEN;Gildelaan;82;4761 BA;ZEVENBERGEN;Rooms-Katholiek
MOLENWAARD;OTTOLAND;01OE32;Wellantcollege;MOLENWAARD;Wellantcollege;B 140, 2975 BK OTTOLAND;B;140;2975 BK;OTTOLAND;Algemeen bijzonder
MONTFERLAND;DIDAM;16SK01;Liemers College;MONTFERLAND;Liemers College Scholengemeenschap voor LYC HAVO MAVO VBO LWOO;Dijksestraat 12, 6942 GC DIDAM;Dijksestraat;12;6942 GC;DIDAM;Samenwerking PC, RK
MONTFOORT;MONTFOORT;01OE17;Wellantcollege;MONTFOORT;Wellantcollege;Doeldijk 16, 3417 XD MONTFOORT;Doeldijk;16;3417 XD;MONTFOORT;Algemeen bijzonder
MOOK EN MIDDELAAR;MOLENHOEK LB;02ST04;Kandinsky College;MOOK EN MIDDELAAR;Kandinsky College voor Lyc Havo Mavo Vbo Lwoo;Singel 124, 6584 BK MOLENHOEK LB;Singel;124;6584 BK;MOLENHOEK LB;Rooms-Katholiek
NEDER-BETUWE;KESTEREN;03WO02;Van Lodensteincollege;NEDER-BETUWE;Van Lodensteincollege Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;Kasteelstraat 2, 4041 JB KESTEREN;Kasteelstraat;2;4041 JB;KESTEREN;Reformatorisch
NEDER-BETUWE;KESTEREN;16YV04;Pantarijn SGM;NEDER-BETUWE;Regionale Scholengemeenschap Pantarijn voor Lyc Havo Mavo Vbo Pro Lwoo;Tollenhof 1, 4041 BH KESTEREN;Tollenhof;1;4041 BH;KESTEREN;Openbaar
NEDER-BETUWE;KESTEREN;26CC05;VMBO Kesteren;NEDER-BETUWE;Helicon Opleidingen;Industrieweg 4, 4041 CR KESTEREN;Industrieweg;4;4041 CR;KESTEREN;Algemeen bijzonder
NIEUWEGEIN;NIEUWEGEIN;00VY00;RK SGM Cals College;NIEUWEGEIN;Cals College Roomskatholiek Scholengemeenschap voor Lyceum Havo Mavo Vbo;Vreeswijksestraatweg 6-A, 3432 NA NIEUWEGEIN;Vreeswijksestraatweg;6-A;3432 NA;NIEUWEGEIN;Rooms-Katholiek
NIEUWEGEIN;NIEUWEGEIN;17GM00;Oosterlicht College;NIEUWEGEIN;Oosterlicht College PC SGM V ATH HAVO MAVO VBO;Dieselbaan 10, 3439 MV NIEUWEGEIN;Dieselbaan;10;3439 MV;NIEUWEGEIN;Protestants-Christelijk
NIEUWEGEIN;NIEUWEGEIN;18WS00;Anna Van Ryn College;NIEUWEGEIN;Anna Van Ryn College Opbare Scholengemeenschap voor Ath Havo Mavo Vbo;Albatros 1, 3435 XA NIEUWEGEIN;Albatros;1;3435 XA;NIEUWEGEIN;Openbaar
NIEUWEGEIN;NIEUWEGEIN;18WS01;Anna xmbo;NIEUWEGEIN;Anna Van Ryn College Opbare Scholengemeenschap voor Ath Havo Mavo Vbo;Harmonielaan 1, 3438 ED NIEUWEGEIN;Harmonielaan;1;3438 ED;NIEUWEGEIN;Openbaar
NIEUWEGEIN;NIEUWEGEIN;18WS02;Anna Van Ryn College, Zuid;NIEUWEGEIN;Anna van Ryn College Openbare Scholengemeenschap voor Ath Havo Mavo Vbo Lwoo;Acaciastraat 37, 3434 BV NIEUWEGEIN;Acaciastraat;37;3434 BV;NIEUWEGEIN;Openbaar
NIEUWKOOP;NIEUWKOOP;04DF01;Ashram College;NIEUWKOOP;Ashram College Rooms Katholieke Scholengemeenschap voor Atheneum Havo Mavo Vbo;Lindelaan 2, 2421 VR NIEUWKOOP;Lindelaan;2;2421 VR;NIEUWKOOP;Rooms-Katholiek
NIJKERK;NIJKERK GLD;02DC03;Corlaer College;NIJKERK;Corlaer College;Henri Nouwenstraat 8, 3863 HV NIJKERK GLD;Henri Nouwenstraat;8;3863 HV;NIJKERK GLD;Protestants-Christelijk
NIJKERK;HOEVELAKEN;03WO01;Van Lodensteincollege;NIJKERK;Van Lodensteincollege Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;Zuiderinslag 1, 3871 MR HOEVELAKEN;Zuiderinslag;1;3871 MR;HOEVELAKEN;Reformatorisch
NIJKERK;NIJKERK GLD;25GV09;AOC Groenhorst;NIJKERK;Agrarisch Opleidingen Centrum Groenhorst;Luxoolseweg 1, 3862 WH NIJKERK GLD;Luxoolseweg;1;3862 WH;NIJKERK GLD;Samenwerking PC, RK
NIJMEGEN;NIJMEGEN;00CB00;SGM VO Vrije Schoolond;NIJMEGEN;Scholengemeenschap voor Voortgezet Vrije Schoolonderwijs;Wilhelminasingel 13-15, 6524 AJ NIJMEGEN;Wilhelminasingel;13-15;6524 AJ;NIJMEGEN;Antroposofisch
NIJMEGEN;NIJMEGEN;00RZ00;Montessori College;NIJMEGEN;Montessori College voor Vwo, Havo, Vmbo;Kwakkenbergweg 27-33, 6523 MJ NIJMEGEN;Kwakkenbergweg;27-33;6523 MJ;NIJMEGEN;Algemeen bijzonder
NIJMEGEN;NIJMEGEN;01VN00;Canisius College;NIJMEGEN;Canisius College Lyceum Havo Mavo Vbo Lwoo;Berg en Dalseweg 207, 6522 BK NIJMEGEN;Berg en Dalseweg;207;6522 BK;NIJMEGEN;Rooms-Katholiek
NIJMEGEN;NIJMEGEN;01VN04;Canisius - t Rijks vmbo;NIJMEGEN;Canisius College;Goffertweg 20, 6532 AA NIJMEGEN;Goffertweg;20;6532 AA;NIJMEGEN;Rooms-Katholiek
NIJMEGEN;NIJMEGEN;02ST00;Kandinsky College;NIJMEGEN;Kandinsky College voor Lyceum Havo Mavo Vbo Lwoo;Malderburchtstraat 11, 6535 ND NIJMEGEN;Malderburchtstraat;11;6535 ND;NIJMEGEN;Rooms-Katholiek
NIJMEGEN;NIJMEGEN;02ST03;Kandinsky - t Rijks vmbo;NIJMEGEN;Kandinsky College voor Lyc Havo Mavo Vbo Lwoo;Hatertseweg 404, 6533 GV NIJMEGEN;Hatertseweg;404;6533 GV;NIJMEGEN;Rooms-Katholiek
NIJMEGEN;NIJMEGEN;02ST05;Jorismavo;NIJMEGEN;Jorismavo;Heyendaalseweg 45, 6524 SE NIJMEGEN;Heyendaalseweg;45;6524 SE;NIJMEGEN;Rooms-Katholiek
NIJMEGEN;NIJMEGEN;02VE00;NSG Groenewoud;NIJMEGEN;Nijmeegse Scholengemeenschap Groenewoud voor Vwo Havo en Mavo;Groenewoudseweg 1, 6524 TM NIJMEGEN;Groenewoudseweg;1;6524 TM;NIJMEGEN;Algemeen bijzonder
NIJMEGEN;NIJMEGEN;14NQ00;Dominicus;NIJMEGEN;Dominicus Mavo/Havo/Atheneum/Gymnasium;Energieweg 93, 6541 CZ NIJMEGEN;Energieweg;93;6541 CZ;NIJMEGEN;Rooms-Katholiek
NIJMEGEN;NIJMEGEN;20CI00;Stedelijk Gymnasium;NIJMEGEN;Stedelijk Gymnasium Nijmegen;Kronenburgersingel 269, 6511 AS NIJMEGEN;Kronenburgersingel;269;6511 AS;NIJMEGEN;Openbaar
NIJMEGEN;NIJMEGEN;20EO00;Stedelijke SGM Nijmegen;NIJMEGEN;Stedelijke Scholengemeenschap Nijmegen;IJsbeerstraat 12, 6531 PL NIJMEGEN;IJsbeerstraat;12;6531 PL;NIJMEGEN;Openbaar
NIJMEGEN;NIJMEGEN;21SK00;Mondial College;NIJMEGEN;Mondial College;Leuvensbroek 3001, 6546 TD NIJMEGEN;Leuvensbroek;3001;6546 TD;NIJMEGEN;Openbaar
NIJMEGEN;NIJMEGEN;26CC06;Helicon;NIJMEGEN;Helicon Opleidingen;Marga Klompelaan 37, 6532 SB NIJMEGEN;Marga Klompelaan;37;6532 SB;NIJMEGEN;Algemeen bijzonder
NIJMEGEN;LENT;30AU00;Citadel College, Dijkstraat;NIJMEGEN;Citadel College voor vwo havo mavo vbo en lwoo;Dijkstraat 7, 6663 AD LENT;Dijkstraat;7;6663 AD;LENT;Samenwerking PC, RK
NIJMEGEN;LENT;30AU01;Citadel College, Griftdijk;NIJMEGEN;Citadel College voor vwo havo mavo vbo en lwoo;Griftdijk Noord 9-A, 6663 AA LENT;Griftdijk Noord;9-A;6663 AA;LENT;Samenwerking PC, RK
NISSEWAARD;SPIJKENISSE;19DH00;De Ring van Putten;NISSEWAARD;Openbare Scholengemeenschap De Ring voor Putten voor Ath Havo Mavo;Groenewoudlaan 25, 3201 LP SPIJKENISSE;Groenewoudlaan;25;3201 LP;SPIJKENISSE;Openbaar
NISSEWAARD;SPIJKENISSE;20FR00;PENTA college;NISSEWAARD;PENTA college Chr. SGM voor gymnasium atheneum havo mavo vmbo lwoo;Curieweg 25, 3208 KJ SPIJKENISSE;Curieweg;25;3208 KJ;SPIJKENISSE;Protestants-Christelijk
NISSEWAARD;SPIJKENISSE;20FR02;PENTA Scala Rietvelden;NISSEWAARD;PENTA college Chr. SGM voor gym ath havo mavo vmbo lwoo, loc. Scala Rietvelden;J.A. Heijwegenlaan 2, 3201 KH SPIJKENISSE;J.A. Heijwegenlaan;2;3201 KH;SPIJKENISSE;Protestants-Christelijk
NISSEWAARD;#N/B;20FR03;PENTA De Oude Maas;NISSEWAARD;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B
NISSEWAARD;SPIJKENISSE;23AP00;MY college;NISSEWAARD;MY college voor VMBO;Zinkseweg 2, 3201 KZ SPIJKENISSE;Zinkseweg;2;3201 KZ;SPIJKENISSE;Openbaar
NISSEWAARD;SPIJKENISSE;23YU04;Charles de Foucauld;NISSEWAARD;Nova College - locatie Charles de Foucauld;Lisstraat 13, 3202 JG SPIJKENISSE;Lisstraat;13;3202 JG;SPIJKENISSE;Samenwerking PC, RK, Alg. Bijz
NOORDOOSTPOLDER;EMMELOORD;02JG00;Emelwerda College;NOORDOOSTPOLDER;Emelwerda College Christelijke Scholengemeenschap voor Lwoo Mavo Havo Vwo;Peppellaan 1, 8302 AL EMMELOORD;Peppellaan;1;8302 AL;EMMELOORD;Protestants-Christelijk
NOORDOOSTPOLDER;EMMELOORD;02JG04;Emelwerda College, De Es;NOORDOOSTPOLDER;Emelwerda College Christelijke Scholengemeenschap voor Lwoo Mavo Havo Vwo;Espelerlaan 70, 8302 DC EMMELOORD;Espelerlaan;70;8302 DC;EMMELOORD;Protestants-Christelijk
NOORDOOSTPOLDER;EMMELOORD;02KR00;St Bonifatius Mavo;NOORDOOSTPOLDER;St Bonifatius Mavo;Prof. Lorentzstraat 3, 8302 AS EMMELOORD;Prof. Lorentzstraat;3;8302 AS;EMMELOORD;Rooms-Katholiek
NOORDOOSTPOLDER;EMMELOORD;20CR00;Zuyderzee College;NOORDOOSTPOLDER;Openbare School voor voortgezet onderwijs Zuyderzee College;Prof. ter Veenstraat 5, 8302 GA EMMELOORD;Prof. ter Veenstraat;5;8302 GA;EMMELOORD;Openbaar
NOORDOOSTPOLDER;EMMELOORD;20CR01;Zuyderzee College, Vakcollege;NOORDOOSTPOLDER;Zuyderzee College voor Lyc Havo Mavo Vbo;Espelerlaan 72, 8302 DC EMMELOORD;Espelerlaan;72;8302 DC;EMMELOORD;Openbaar
NOORDOOSTPOLDER;EMMELOORD;25GV01;AOC Groenhorst;NOORDOOSTPOLDER;Agrarisch Opleidingen Centrum Groenhorst;De Balkan 16, 8303 GZ EMMELOORD;De Balkan;16;8303 GZ;EMMELOORD;Samenwerking PC, RK
NUENEN CA;NUENEN;20IB03;Pleincollege Nuenen;NUENEN CA;"Eckartcollege; Pleincollege Nuenen voor LYc Havo Mavo Vbo Lwoo";Vrouwkensakker 17, 5673 PE NUENEN;Vrouwkensakker;17;5673 PE;NUENEN;Samenwerking PC, RK
NUNSPEET;NUNSPEET;01FU04;Nuborgh College Veluvine;NUNSPEET;Nuborgh College - locatie Veluvine;F.A. Molijnlaan 184, 8071 AK NUNSPEET;F.A. Molijnlaan;184;8071 AK;NUNSPEET;Protestants-Christelijk
OIRSCHOT;OIRSCHOT;16RT01;Kempenhorst VMBO College;OIRSCHOT;Voortgezet Onderwijs Best-Oirschot locatie Kempenhorst VMBO College;Eikenbussel 1, 5689 AA OIRSCHOT;Eikenbussel;1;5689 AA;OIRSCHOT;Rooms-Katholiek
OISTERWIJK;OISTERWIJK;16OX00;2College Durendael;OISTERWIJK;2College voor Lyceum Havo Mavo Vbo;Van Kemenadelaan 5, 5061 EE OISTERWIJK;Van Kemenadelaan;5;5061 EE;OISTERWIJK;Rooms-Katholiek
OLDEBROEK;WEZEP;02VT06;Agnieten College Wezep;OLDEBROEK;Agnieten College Wezep voor Lyceum Havo Mavo Vbo Lwoo;Noordsingel 70, 8091 WD WEZEP;Noordsingel;70;8091 WD;WEZEP;Protestants-Christelijk
OLDENZAAL;OLDENZAAL;05AV00;Twents Carmel College;OLDENZAAL;Twents Carmel College voor Gymnasium, Atheneum, Havo, Vmbo met Lwoo, Pro;Potskampstraat 2, 7573 CC OLDENZAAL;Potskampstraat;2;7573 CC;OLDENZAAL;Rooms-Katholiek
OLDENZAAL;OLDENZAAL;05AV01;Twents Carmel College, de Thij;OLDENZAAL;Twents Carmel College voor Gymnasium, Atheneum, Havo, Vmbo met Lwoo, Pro;Thijlaan 30, 7576 ZB OLDENZAAL;Thijlaan;30;7576 ZB;OLDENZAAL;Rooms-Katholiek
OLDENZAAL;OLDENZAAL;05AV02;Twents Carmel College, Lyceumstr.;OLDENZAAL;Twents Carmel College voor Gymnasium, Atheneum, Havo, Vmbo met Lwoo, Pro;Lyceumstraat 36, 7572 CR OLDENZAAL;Lyceumstraat;36;7572 CR;OLDENZAAL;Rooms-Katholiek
OLST-WIJHE;WIJHE;17BZ02;De Capellenborg;OLST-WIJHE;Scholengemeenschap van de Capellen voor ATH HAVO MAVO VBO LWOO;de Lange Slagen 29-A, 8131 DP WIJHE;de Lange Slagen;29-A;8131 DP;WIJHE;Openbaar
OMMEN;OMMEN;02UX06;Vechtdal College;OMMEN;Vechtdal College Scholengemeenschap voor Atheneum Havo Mavo Vbo Lwoo;Balkerweg 2, 7731 RZ OMMEN;Balkerweg;2;7731 RZ;OMMEN;Samenwerking PC, RK
OOST GELRE;GROENLO;02QN00;Marianum, Groenlo;OOST GELRE;Rooms Katholieke Scholengemeenschap Marianum voor Lyc Havo Mavo Vbo Lwoo;Deken Hooijmansingel 1, 7141 EA GROENLO;Deken Hooijmansingel;1;7141 EA;GROENLO;Rooms-Katholiek
OOST GELRE;LICHTENVOORDE;02QN02;Marianum, Lichtenvoorde;OOST GELRE;Rooms Katholieke Scholengemeenschap Marianum voor Lyc Havo Mavo Vbo Lwoo;dr Ariensstraat 1, 7131 XM LICHTENVOORDE;dr Ariensstraat;1;7131 XM;LICHTENVOORDE;Rooms-Katholiek
OOSTERHOUT;OOSTERHOUT NB;02GF00;Mgr Frencken College;OOSTERHOUT;Mgr Frencken College voor Atheneum en Havo;Slotlaan 40, 4902 AE OOSTERHOUT NB;Slotlaan;40;4902 AE;OOSTERHOUT NB;Rooms-Katholiek
OOSTERHOUT;OOSTERHOUT NB;02QO00;Sint Oelbert Gymnasium;OOSTERHOUT;Sint Oelbert Gymnasium;Warandelaan 3, 4904 PA OOSTERHOUT NB;Warandelaan;3;4904 PA;OOSTERHOUT NB;Rooms-Katholiek
OOSTERHOUT;OOSTERHOUT NB;21GZ06;Hanze College;OOSTERHOUT;Kwadrant Scholengroep RK Regionale Scholengemeenschap voor VWO HAVO en VMBO;Bouwlingstraat 74, 4902 AK OOSTERHOUT NB;Bouwlingstraat;74;4902 AK;OOSTERHOUT NB;Rooms-Katholiek
OOSTERHOUT;OOSTERHOUT NB;25LX41;Effent mavo;OOSTERHOUT;ROC West-Brabant locatie Effent VMBO;Kruidenlaan 19, 4907 AA OOSTERHOUT NB;Kruidenlaan;19;4907 AA;OOSTERHOUT NB;Samenwerking PC, RK, Alg. Bijz
OSS;OSS;19XH00;Het Hooghuis;OSS;Het Hooghuis;Molenstraat 30, 5341 GD OSS;Molenstraat;30;5341 GD;OSS;Algemeen bijzonder
OSS;OSS;19XH01;Het Hooghuis locatie Stadion;OSS;Het Hooghuis Locatie Stadion;Mondriaanlaan 6, 5342 CN OSS;Mondriaanlaan;6;5342 CN;OSS;Algemeen bijzonder
OSS;RAVENSTEIN;19XH02;Hooghuis Lyceum, Ravenstein;OSS;Hooghuis Lyceum;Middingstraat 1, 5371 EJ RAVENSTEIN;Middingstraat;1;5371 EJ;RAVENSTEIN;Algemeen bijzonder
OSS;OSS;19XH04;Hooghuis Lyceum, Zuid;OSS;Hooghuis Lyceum;de Ruivert 5, 5342 CM OSS;de Ruivert;5;5342 CM;OSS;Algemeen bijzonder
OSS;OSS;19XH05;Hooghuis Lyceum, West;OSS;Hooghuis Lyceum;Verdistraat 75, 5343 VC OSS;Verdistraat;75;5343 VC;OSS;Algemeen bijzonder
OSS;OSS;19XH07;Hooghuis Lyceum, Den Bongerd;OSS;Hooghuis Lyceum voor Lyceum Havo Mavo Vbo Lwoo;Staringstraat 4, 5343 GH OSS;Staringstraat;4;5343 GH;OSS;Algemeen bijzonder
OSS;OSS;19XH09;Mondriaan;OSS;Het Hooghuis-locatie Mondriaan College;Mondriaanlaan 1, 5342 CN OSS;Mondriaanlaan;1;5342 CN;OSS;Algemeen bijzonder
OSS;OSS;20WI00;Het Maaslandcollege;OSS;Maaslandcollege Scholengemeenschap voor Mavo Havo Vwo;Vianenstraat 1, 5342 AJ OSS;Vianenstraat;1;5342 AJ;OSS;Rooms-Katholiek
OUD-BEIJERLAND;OUD-BEIJERLAND;08VU00;Chr SGM Willem v Oranje, loc. Zoomwijck;OUD-BEIJERLAND;Christelijke Scholengemeenschap Willem van Oranje voor ATH HAVO MAVO;Randweg 2, 3263 RA OUD-BEIJERLAND;Randweg;2;3263 RA;OUD-BEIJERLAND;Protestants-Christelijk
OUD-BEIJERLAND;OUD-BEIJERLAND;08VU02;Chr SGM Willem v Oranje, loc. Poortwijk;;;;;;;;
OUD-BEIJERLAND;OUD-BEIJERLAND;15XV00;Hoeksch Lyceum;OUD-BEIJERLAND;Regionale Scholengemeenschap Hoeksche Waard;Hoefsmid 1, 3263 CC OUD-BEIJERLAND;Hoefsmid;1;3263 CC;OUD-BEIJERLAND;Openbaar
OUD-BEIJERLAND;OUD-BEIJERLAND;15XV01;Actiefcollege;OUD-BEIJERLAND;Regionale Scholengemeenschap Hoeksche Waard;Koninginneweg 126, 3262 JD OUD-BEIJERLAND;Koninginneweg;126;3262 JD;OUD-BEIJERLAND;Openbaar
OUDE IJSSELSTREEK;SILVOLDE;14UM00;Almende College;OUDE IJSSELSTREEK;Almende College voor Gymnasium Atheneum Havo Mavo Vbo Lwoo;Laan van Schuylenburch 8, 7064 AL SILVOLDE;Laan van Schuylenburch;8;7064 AL;SILVOLDE;Rooms-Katholiek
OUDE IJSSELSTREEK;SILVOLDE;14UM01;Almende College, Bluemers;OUDE IJSSELSTREEK;Almende College voor Gymnasium Atheneum Havo Mavo Vbo Lwoo;Pastoor Bluemersplein 2, 7064 BK SILVOLDE;Pastoor Bluemersplein;2;7064 BK;SILVOLDE;Rooms-Katholiek
OUDE IJSSELSTREEK;ULFT;14UM02;Almende College, Wesenthorst;OUDE IJSSELSTREEK;Almende College voor Gymnasium Atheneum Havo Mavo Vbo Lwoo;Heggenseveld 1, 7071 WL ULFT;Heggenseveld;1;7071 WL;ULFT;Rooms-Katholiek
OVERBETUWE;ZETTEN;00TM00;Hendrik Pierson College;OVERBETUWE;Christelijk Scholengemeenschap voor Atheneum Havo Mavo Vbo Lwoo;Mammoetstraat 3, 6671 DL ZETTEN;Mammoetstraat;3;6671 DL;ZETTEN;Protestants-Christelijk
OVERBETUWE;ELST GLD;17IM05;Over Betuwe College;OVERBETUWE;Over Betuwe College voor Ath Havo Mavo Vbo Lwoo;Mozartstraat 12, 6661 BL ELST GLD;Mozartstraat;12;6661 BL;ELST GLD;Rooms-Katholiek
OVERBETUWE;ELST GLD;20TZ04;Het Westeraam;OVERBETUWE;Lorentz Groep;Auditorium 6, 6661 TZ ELST GLD;Auditorium;6;6661 TZ;ELST GLD;Openbaar
OVERBETUWE;ELST GLD;20TZ11;Lyceum Elst;OVERBETUWE;Lorentz Groep;Auditorium 3, 6661 TZ ELST GLD;Auditorium;3;6661 TZ;ELST GLD;Openbaar
PAPENDRECHT;PAPENDRECHT;16QA00;De Lage Waard, Vijzellaan;PAPENDRECHT;Christelijke Scholengemeenschap De Lage Waard voor Ath Havo Mavo Vbo Lwoo;Vijzellaan 4, 3352 VH PAPENDRECHT;Vijzellaan;4;3352 VH;PAPENDRECHT;Protestants-Christelijk
PAPENDRECHT;PAPENDRECHT;16QA01;De Lage Waard, burg Keijzerweg;PAPENDRECHT;Christelijke Scholengemeenschap De Lage Waard voor Ath Havo Mavo Vbo Lwoo;Burgemeester Keijzerweg 5, 3351 JA PAPENDRECHT;Burgemeester Keijzerweg;5;3351 JA;PAPENDRECHT;Protestants-Christelijk
PAPENDRECHT;PAPENDRECHT;20AE00;Willem De Zwijger College;PAPENDRECHT;Willem De Zwijger College voor Gym, Ath, Havo, en Vmbo;Van der Palmstraat 2, 3351 HA PAPENDRECHT;Van der Palmstraat;2;3351 HA;PAPENDRECHT;Openbaar
PIJNACKER-NOOTDORP;PIJNACKER;02DZ03;Sint Stanislascollege;PIJNACKER-NOOTDORP;St Stanislascoll RK SGM v Lyc Havo Mavo Vbo Lwoo;Sportlaan 3-A, 2641 AZ PIJNACKER;Sportlaan;3-A;2641 AZ;PIJNACKER;Rooms-Katholiek
PUTTEN;PUTTEN;00WI04;Chr. College Groevenbeek;PUTTEN;Christelijk College Groevenbeek;Korenlaan 1, 3881 DA PUTTEN;Korenlaan;1;3881 DA;PUTTEN;Protestants-Christelijk
RAALTE;RAALTE;04OY02;Carmel College Salland;RAALTE;Carmel College Salland Katholieke Scholengemeenschap;Hofstedelaan 4, 8101 AH RAALTE;Hofstedelaan;4;8101 AH;RAALTE;Rooms-Katholiek
REIMERSWAAL;KRABBENDIJKE;03JY02;Calvijn College, Kerkpolder;REIMERSWAAL;Calvijn College voor Reformatorisch Atheneum Havo Mavo Vbo Lwoo;Kerkpolder 50, 4413 GB KRABBENDIJKE;Kerkpolder;50;4413 GB;KRABBENDIJKE;Reformatorisch
